fsq_place_id,name,location.formatted_address,latitude,longitude,distance,station_id
51d6f3dc498ea03f2ce3379a,Boulangerie Pâtisserie Wellington,"3990 Wellington (entre De l'Église & Hickson), Verdun QC H4G 1V3",45.46393651914137,-73.56671059636794,136,0013e5d100f68121835052a381ab2f23
5f67b90d7024f007d354879e,Kwizinn,"4030 Wellington (De L'église), Verdun QC H4G 1V3",45.46336902841958,-73.56669252246199,83,0013e5d100f68121835052a381ab2f23
51578c33e4b0648146730dc7,Pizza Pizza,"4073, rue Wellington, Verdun QC H4G 1V6",45.462960976014514,-73.56721173688119,100,0013e5d100f68121835052a381ab2f23
4c812feae602b1f7b64d907a,Café la Tazza,"3922, rue Wellington (entre de l'Église & Hickson), Verdun QC H4G 1V3",45.464619477322856,-73.56663557920184,206,0013e5d100f68121835052a381ab2f23
4bbd3637078095212066da91,Zappy Pizza,"11 De L'Église, Verdun QC H4G 2L8",45.462746967413786,-73.56376976565195,169,0013e5d100f68121835052a381ab2f23
4b6480edf964a520d2b82ae3,Garage Café,"275 rue Hickson (coin Wellington), Verdun QC H4G 1S5",45.464981925966114,-73.567522033344,269,0013e5d100f68121835052a381ab2f23
5b317c9edd8442002c974d1f,Bossa Prêt-À-Manger,"4354 Wellington, Verdun QC H4G 1W4",45.460467993550346,-73.56693879385226,273,0013e5d100f68121835052a381ab2f23
4dbf05957aba5216424fc325,Les Délices de l'Ile Maurice,"272 Hickson (Wellington & Ethel), Verdun QC H4G 2J6",45.4648327168923,-73.56731975727071,247,0013e5d100f68121835052a381ab2f23
5bf78a945f68b90039b5183a,Janine Cafe-Brunch,"3900 Wellington (Hickson), Verdun QC H4G 1V3",45.46479267405666,-73.56649594101258,222,0013e5d100f68121835052a381ab2f23
4c706739344437048626245f,Nouveau Delhi Express,"3876 Rue Wellington, Verdun QC H4G 1V2",45.46524470723392,-73.56660710637536,273,0013e5d100f68121835052a381ab2f23
52471ddd498e8b85a9ee47ad,Station W,"3852, rue Wellington, Verdun QC H4G 1V2",45.46547170715051,-73.56661433575134,298,0013e5d100f68121835052a381ab2f23
4c729ed9376da09399d3a6c6,Restaurant Laterna,"3997 Wellington (De L'Église), Verdun QC H4G 1V6",45.46381515865144,-73.56709380048805,141,0013e5d100f68121835052a381ab2f23
4ca66a7e14c33704b271bf3b,Aka-Fuji,"3872 Rue Wellington (Hickson), Verdun QC H4G 1V2",45.46518697469543,-73.56665365288917,267,0013e5d100f68121835052a381ab2f23
5d2007f3442332002f370a2f,Beba,"3900 Rue Éthel (Rue Hickson), Montréal QC H4G 1S3",45.46482485279903,-73.56770658504614,260,0013e5d100f68121835052a381ab2f23
4bd343a3b221c9b68c4cd9d0,Subway,"4235 Wellington, Verdun QC H4G 1V9",45.461368092296865,-73.56735451321099,196,0013e5d100f68121835052a381ab2f23
5b3cf3016fa81f002c5e4829,Comon,"3969 Boulevard LaSalle, Verdun QC H4G 2A1",45.46420084345915,-73.56488042183133,173,0013e5d100f68121835052a381ab2f23
5cef26d3d552c7002dc0a986,Harvey's,"4120 boul. Lasalle, Verdun QC H4G 2A5",45.46235765257072,-73.56308993517848,228,0013e5d100f68121835052a381ab2f23
593c25eb3362735a7e7d2255,Chez Robin marché local,"3819 Rue Wellington, Verdun QC H4G 1V1",45.465748578839126,-73.56696185380225,333,0013e5d100f68121835052a381ab2f23
5716456a498e9bb9e88d52dd,St-Hubert Express,"4120 Boul Lasalle, Verdun QC H4G 2A5",45.46236444762037,-73.56303187955639,232,0013e5d100f68121835052a381ab2f23
4f7a1adde4b03318f5642edc,Wawel,"4301 Wellington (coin Gordon), Verdun QC H4G 1W3",45.460914110378944,-73.56734004832066,239,0013e5d100f68121835052a381ab2f23
4f455230e4b09e5f75505557,Café Différance,"449 ave. Viger Ouest (entre St-Alexandre & Beaver Hall), Montréal QC H2Z 1G6",45.50246234161205,-73.56267902640327,46,0040082e616edec293c0c74fcbf825c4
4f05fe514901346082fe5c08,Officina,"455 ave. Viger Ouest (entre St-Alexandre & Beaver Hall), Montréal QC H2Z 1G6",45.50269282428844,-73.56286109488659,67,0040082e616edec293c0c74fcbf825c4
4fbe842ee4b0f42520aed98b,I-sushi,"447 Avenue Viger O, Montréal QC H2Z 1G6",45.502694785580154,-73.56276430593988,69,0040082e616edec293c0c74fcbf825c4
58e259e22f91cb7e886c5329,Venice MTL Beaver Hall,"1045 Côte du Beaver Hall, Montréal QC H2Z 1S5",45.50243435355931,-73.56440249372248,120,0040082e616edec293c0c74fcbf825c4
56798300498e204a78538464,Fiorellino,"470, rue de la Gauchetière Ouest (entre Beaver Hall & St-Alexandre), Montréal QC H2Z 1E3",45.50285234524643,-73.5633988483622,92,0040082e616edec293c0c74fcbf825c4
4adca246f964a520232e21e3,Daylight Factory,"1030 rue Saint-Alexandre (entre Viger & De la Gauchetière), Montréal QC H2Z 1P3",45.50295965379066,-73.56301956392093,97,0040082e616edec293c0c74fcbf825c4
524c547111d23081db9f82fd,Saikō Bistrot Izakaya,"1065 Côte du Beaver Hall, Montréal QC H2Z 1S5",45.50248817919257,-73.5645494825942,133,0040082e616edec293c0c74fcbf825c4
4ad4c06df964a5206efa20e3,Toqué,"900 Place Jean-Paul-Riopelle, Montréal QC H2Z 2B2",45.502998263983685,-73.56091841929417,187,0040082e616edec293c0c74fcbf825c4
5717aca3498e90419bb45b52,Portus 360,"777 Robert-Bourassa Blvd, Montréal QC H3C 3Z7",45.49979433718035,-73.56253320802755,256,0040082e616edec293c0c74fcbf825c4
4b100d0bf964a5201d6823e3,Café du Parquet,"1000 Place Jean Paul Riopelle (St-Antoine Ouest), Montréal QC h2z 2b3",45.50306089429111,-73.56151686372404,155,0040082e616edec293c0c74fcbf825c4
4af5b204f964a5206cfb21e3,Bagels Expressions,"1045 Cote de Beaver Hall, Montréal QC H2Z 1S5",45.50243042811404,-73.56459607059168,134,0040082e616edec293c0c74fcbf825c4
4b437773f964a5200ae125e3,Frais Café&Sandwiches,"1085 Beaver hall (René Lévesque), Montréal QC",45.502647691986866,-73.56508724036405,178,0040082e616edec293c0c74fcbf825c4
57a1fa72498ef754ac40c539,La Finca – café & bureau,"1067, Rue de Bleury (De la Gauchetière), Montréal QC H2Z 1N1",45.50452048526137,-73.56311578607162,270,0040082e616edec293c0c74fcbf825c4
4b913e5ef964a520aaac33e3,Osco,"360, rue Saint-Antoine Ouest, Montréal QC H2Y 3X4",45.50310942086871,-73.56078234359063,203,0040082e616edec293c0c74fcbf825c4
56e9cf37498e8d07ac01d8f4,Crew Collective & Cafe,"360 Saint Jacques, Montréal QC H2Y 2N1",45.50239947219616,-73.55920178694564,293,0040082e616edec293c0c74fcbf825c4
57dafea0498e5359faf5f11f,Tiradito,"1076 Rue de Bleury (entre René-Lévesque & De la Gauchetière), Montréal QC H2Z 1N2",45.50454438091839,-73.5634049166857,275,0040082e616edec293c0c74fcbf825c4
51c39360498e50c2a5c6ad8e,Camion Pied De Cochon,Montréal QC,45.50216237828216,-73.56100408760156,151,0040082e616edec293c0c74fcbf825c4
4bd5b68e29eb9c7484bf93e1,Ôbol,"800 Rue de la Gauchetière O., Montréal QC H5A 1K6",45.500369071059886,-73.5654021034436,270,0040082e616edec293c0c74fcbf825c4
4bf095173a15d13addc23e9f,Gazette Restaurant,"300 rue Saint-Antoine Ouest (Rue Saint-Pierre, en face du Palais des Congrès), Montréal QC H2Y 0A3",45.50336572615441,-73.56025789714374,252,0040082e616edec293c0c74fcbf825c4
5dc06582e557ca000833eecb,Chifa,"1080 Bleury, Montréal QC H2Z 1N2",45.504495741867416,-73.56359637794091,272,0040082e616edec293c0c74fcbf825c4
50fb36a4e4b0fb41a2b2032b,Kim Fay,"6790 Darlington, Montréal QC",45.509427264659855,-73.63044781330845,280,00b7595b843f69c9041fca9e4e84700b
63711d8b18039a4ec3115052,Boulangerie Sindbad,"6685 Av. de Darlington, Montréal QC H3S 2J6",45.50989154666199,-73.62997890423892,343,00b7595b843f69c9041fca9e4e84700b
64cfc4a44c5dc63ebc2427a0,Renfell’s Kosher Bakery,"2800 Ch. Bates, Montréal QC H3S 1B1",45.511815,-73.632454,486,00b7595b843f69c9041fca9e4e84700b
